,"31-may-2022"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,,ISIN,Bolsa de valores,Ubicación,Moneda,Mercado de divisas,Tipo de Cambio
"AMXL","AMERICA MOVIL L","Equity","14.91","20.81","418,229,906.00","8,703,364,343.86","8,703,364,343.86","Comunicación","2667470","MXP001691213","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"WALMEX*","WALMART DE MEXICO V","Equity","11.69","72.77","93,756,727.00","6,822,677,023.79","6,822,677,023.79","Productos básicos de consumo","BW1YVH8","MX01WA000038","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GFNORTEO","GPO FINANCE BANORTE","Equity","9.92","127.59","45,379,377.00","5,789,954,711.43","5,789,954,711.43","Financieros","2421041","MXP370711014","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GMEXICOB","GRUPO MEXICO B","Equity","9.60","97.21","57,655,974.00","5,604,737,232.54","5,604,737,232.54","Materiales","2643674","MXP370841019","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Equity","8.59","147.43","34,012,492.00","5,014,461,695.56","5,014,461,695.56","Productos básicos de consumo","2242059","MXP320321310","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"CEMEXCPO","CEMEX CPO","Equity","4.45","9.26","280,271,116.00","2,595,310,534.16","2,595,310,534.16","Materiales","2406457","MXP225611567","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GAPB","GRUPO AEROPORTUARIO DEL PACIFICO","Equity","3.25","295.46","6,421,212.00","1,897,211,297.52","1,897,211,297.52","Industriales","B0ZV104","MX01GA000004","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"TLEVISACPO","GRUPO TELEVISA","Equity","3.23","40.28","46,845,275.00","1,886,927,677.00","1,886,927,677.00","Comunicación","2380108","MXP4987V1378","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"BIMBOA","GRUPO BIMBO A","Equity","3.03","64.72","27,342,556.00","1,769,610,224.32","1,769,610,224.32","Productos básicos de consumo","2392471","MXP495211262","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ASURB","GRUPO AEROPORTUARIO DEL SURESTE B","Equity","2.68","429.95","3,642,135.00","1,565,935,943.25","1,565,935,943.25","Industriales","2639349","MXP001661018","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GFINBURO","GRUPO FINANCIERO INBURSA SRIES O","Equity","2.61","40.09","38,033,823.00","1,524,775,964.07","1,524,775,964.07","Financieros","2822398","MXP370641013","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ELEKTRA*","GRUPO ELEKTRA","Equity","2.15","1,161.28","1,080,380.00","1,254,623,686.40","1,254,623,686.40","Financieros","2967084","MX01EL000003","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"KOFUBL","COCA-COLA FEMSA CLASS UBL UNITS","Equity","1.96","117.89","9,724,374.00","1,146,406,450.86","1,146,406,450.86","Productos básicos de consumo","BHHP0S4","MX01KO000002","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"AC*","ARCA CONTINENTAL","Equity","1.80","133.79","7,839,898.00","1,048,899,953.42","1,048,899,953.42","Productos básicos de consumo","2823885","MX01AC100006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ORBIA*","ORBIA ADVANCE CORP SA DE CV","Equity","1.62","52.85","17,863,402.00","944,080,795.70","944,080,795.70","Materiales","BH3T8K8","MX01OR010004","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GRUMAB","GRUMA","Equity","1.46","233.86","3,649,576.00","853,489,843.36","853,489,843.36","Productos básicos de consumo","2392545","MXP4948K1056","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ALFAA","ALFA A","Equity","1.41","15.12","54,497,659.00","824,004,604.08","824,004,604.08","Industriales","2043423","MXP000511016","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"KIMBERA","KIMBERLY-CLARK DE MEXICO CLASS A","Equity","1.38","30.47","26,377,776.00","803,730,834.72","803,730,834.72","Productos básicos de consumo","2491914","MXP606941179","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"OMAB","GRUPO AEROPORTUARIO DEL CENTRO NOR","Equity","1.23","142.29","5,041,282.00","717,324,015.78","717,324,015.78","Industriales","B1KFX13","MX01OM000018","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"BBAJIOO","BANCO DEL BAJIO INSTITUCION DE BAN","Equity","1.19","48.55","14,320,694.00","695,269,693.70","695,269,693.70","Financieros","BYSX0F3","MX41BB000000","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GCARSOA1","GRUPO CARSO SERIES A1","Equity","1.16","81.09","8,349,016.00","677,021,707.44","677,021,707.44","Industriales","2393452","MXP461181085","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"MXN","MXN CASH","Cash","1.10","100.00","641,870,300.00","641,870,300.28","641,870,300.28","Liquidez","-","-","-","México","MXN","MXN","1.00"
"PE&OLES*","INDUST PENOLES","Equity","0.90","231.45","2,281,483.00","528,049,240.35","528,049,240.35","Materiales","2448200","MXP554091415","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"PINFRA*","PROMOTORA Y OPERADORA DE INFRAESTR","Equity","0.90","135.17","3,871,037.00","523,248,071.29","523,248,071.29","Industriales","2393388","MX01PI000005","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"VESTA*","CORPORACION INMOBILIARIA VESTA","Equity","0.84","40.12","12,152,343.00","487,552,001.16","487,552,001.16","Inmobiliario","B8F6ZF8","MX01VE0M0003","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"VOLARA","CONTROLADORA VUELA COMPANIA DE AVI","Equity","0.79","30.72","14,968,484.00","459,831,828.48","459,831,828.48","Industriales","BDZDPH6","MX01VO000009","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"SITES1A-1","OPERADORA DE SITES MEXICANOS SAD","Equity","0.76","26.06","17,039,089.00","444,038,659.34","444,038,659.34","Comunicación","BJLD2Y8","MX01SI0C0002","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"CUERVO*","BECLE SA DE CV","Equity","0.76","44.33","9,973,693.00","442,133,810.69","442,133,810.69","Productos básicos de consumo","BYM4063","MX01CU010003","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GCC*","GRUPO CEMENTOS","Equity","0.69","137.16","2,936,180.00","402,726,448.80","402,726,448.80","Materiales","2946663","MX01GC2M0006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ALSEA*","ALSEA DE CV","Equity","0.67","42.15","9,315,905.00","392,665,395.75","392,665,395.75","Consumo discrecional","2563017","MXP001391012","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"LIVEPOLC.1","EL PUERTO DE LIVERPOOL C1","Equity","0.65","103.87","3,655,652.00","379,712,573.24","379,712,573.24","Consumo discrecional","2306814","MXP369181377","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"Q*","QUALITAS CONTROLADORA","Equity","0.64","98.75","3,758,675.00","371,169,156.25","371,169,156.25","Financieros","BYMXF65","MX01Q0000008","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"BOLSAA","BOLSA MEXICANA DE VALORES","Equity","0.54","36.25","8,699,682.00","315,363,472.50","315,363,472.50","Financieros","B39VVF6","MX01BM1B0000","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"MEGACPO","MEGACABLE HOLDINGS CPO","Equity","0.53","55.83","5,496,119.00","306,848,323.77","306,848,323.77","Comunicación","B292SM8","MX01ME090003","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"LABB","GENOMMA LAB INTERNATIONAL","Equity","0.47","19.85","13,799,737.00","273,924,779.45","273,924,779.45","Cuidado de la Salud","B3B1C73","MX01LA010006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"RA","REGIONAL SAB DE CV","Equity","0.46","114.06","2,361,811.00","269,388,162.66","269,388,162.66","Financieros","BG1Z6X0","MX01R0000006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
 
