,,29-jul-22,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
Ticker,,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,,ISIN,Bolsa de valores,Ubicación,Moneda,Mercado de divisas,Tipo de Cambio
AMXL,MX,AMERICA MOVIL L,Equity,14.94,19.4,"429,379,400.00","8,329,960,360.00","8,329,960,360.00",Comunicación,2667470,MXP001691213,Bolsa Mexicana De Valores,México,MXN,MXN,1
WALMEX*,MX,WALMART DE MEXICO V,Equity,12.88,73.84,"97,247,481.00","7,180,753,997.04","7,180,753,997.04",Productos básicos de consumo,BW1YVH8,MX01WA000038,Bolsa Mexicana De Valores,México,MXN,MXN,1
GFNORTEO,MX,GPO FINANCE BANORTE,Equity,9.79,115.99,"47,068,861.00","5,459,517,187.39","5,459,517,187.39",Financieros,2421041,MXP370711014,Bolsa Mexicana De Valores,México,MXN,MXN,1
GMEXICOB,MX,GRUPO MEXICO B,Equity,8.65,80.6,"59,802,565.00","4,820,086,739.00","4,820,086,739.00",Materiales,2643674,MXP370841019,Bolsa Mexicana De Valores,México,MXN,MXN,1
FEMSAUBD,MX,FOMENTO ECONOMICO MEXICANO,Equity,8.04,127.03,"35,278,535.00","4,481,432,301.05","4,481,432,301.05",Productos básicos de consumo,2242059,MXP320321310,Bolsa Mexicana De Valores,México,MXN,MXN,1
CEMEXCPO,,CEMEX CPO,Equity,4.29,8.23,"290,706,209.00","2,392,512,100.07","2,392,512,100.07",Materiales,2406457,MXP225611567,Bolsa Mexicana De Valores,México,MXN,MXN,1
BIMBOA,,GRUPO BIMBO A,Equity,3.65,72.04,"28,268,146.00","2,036,437,237.84","2,036,437,237.84",Productos básicos de consumo,2392471,MXP495211262,Bolsa Mexicana De Valores,México,MXN,MXN,1
GAPB,,GRUPO AEROPORTUARIO DEL PACIFICO,Equity,3.29,276.4,"6,632,414.00","1,833,199,229.60","1,833,199,229.60",Industriales,B0ZV104,MX01GA000004,Bolsa Mexicana De Valores,México,MXN,MXN,1
TLEVISACPO,,GRUPO TELEVISA,Equity,2.8,32.14,"48,589,308.00","1,561,660,359.12","1,561,660,359.12",Comunicación,2380108,MXP4987V1378,Bolsa Mexicana De Valores,México,MXN,MXN,1
GFINBURO,,GRUPO FINANCIERO INBURSA SRIES O,Equity,2.63,37.54,"39,038,528.00","1,465,506,341.12","1,465,506,341.12",Financieros,2822398,MXP370641013,Bolsa Mexicana De Valores,México,MXN,MXN,1
ASURB,,GRUPO AEROPORTUARIO DEL SURESTE B,Equity,2.6,384,"3,777,608.00","1,450,601,472.00","1,450,601,472.00",Industriales,2639349,MXP001661018,Bolsa Mexicana De Valores,México,MXN,MXN,1
ELEKTRA*,,GRUPO ELEKTRA,Equity,2.41,"1,197.39","1,120,482.00","1,341,653,941.98","1,341,653,941.98",Financieros,2967084,MX01EL000003,Bolsa Mexicana De Valores,México,MXN,MXN,1
KOFUBL,,COCA-COLA FEMSA CLASS UBL UNITS,Equity,2.23,123.42,"10,086,301.00","1,244,851,269.42","1,244,851,269.42",Productos básicos de consumo,BHHP0S4,MX01KO000002,Bolsa Mexicana De Valores,México,MXN,MXN,1
AC*,,ARCA CONTINENTAL,Equity,2.06,141.21,"8,131,677.00","1,148,274,109.17","1,148,274,109.17",Productos básicos de consumo,2823885,MX01AC100006,Bolsa Mexicana De Valores,México,MXN,MXN,1
GRUMAB,,GRUMA,Equity,1.69,253.49,"3,725,109.00","944,277,880.41","944,277,880.41",Productos básicos de consumo,2392545,MXP4948K1056,Bolsa Mexicana De Valores,México,MXN,MXN,1
ORBIA*,,ORBIA ADVANCE CORP SA DE CV,Equity,1.49,44.96,"18,528,421.00","833,037,808.16","833,037,808.16",Materiales,BH3T8K8,MX01OR010004,Bolsa Mexicana De Valores,México,MXN,MXN,1
KIMBERA,,KIMBERLY-CLARK DE MEXICO CLASS A,Equity,1.47,30.02,"27,359,714.00","821,338,614.28","821,338,614.28",Productos básicos de consumo,2491914,MXP606941179,Bolsa Mexicana De Valores,México,MXN,MXN,1
ALFAA,,ALFA A,Equity,1.42,14.01,"56,342,283.00","789,355,384.83","789,355,384.83",Industriales,2043423,MXP000511016,Bolsa Mexicana De Valores,México,MXN,MXN,1
BBAJIOO,,BANCO DEL BAJIO INSTITUCION DE BAN,Equity,1.28,47.94,"14,853,748.00","712,088,679.12","712,088,679.12",Financieros,BYSX0F3,MX41BB000000,Bolsa Mexicana De Valores,México,MXN,MXN,1
GCARSOA1,,GRUPO CARSO SERIES A1,Equity,1.23,79.51,"8,649,527.00","687,723,891.77","687,723,891.77",Industriales,2393452,MXP461181085,Bolsa Mexicana De Valores,México,MXN,MXN,1
