A fecha de,"31-ago-2022"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores,Ubicación,Moneda,Mercado de divisas,Tipo de Cambio
"AMXL","AMERICA MOVIL L","Equity","14.11","17.17","435,497,930.00","7,477,499,458.10","7,477,499,458.10","Comunicación","2667470","MXP001691213","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"WALMEX*","WALMART DE MEXICO V","Equity","12.25","65.84","98,633,151.00","6,494,006,661.84","6,494,006,661.84","Productos básicos de consumo","BW1YVH8","MX01WA000038","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GFNORTEO","GPO FINANCE BANORTE","Equity","10.72","118.98","47,739,586.00","5,680,055,942.28","5,680,055,942.28","Financieros","2421041","MXP370711014","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GMEXICOB","GRUPO MEXICO B","Equity","8.73","76.28","60,654,625.00","4,626,734,795.00","4,626,734,795.00","Materiales","2643674","MXP370841019","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Equity","8.52","126.27","35,781,125.00","4,518,082,653.75","4,518,082,653.75","Productos básicos de consumo","2242059","MXP320321310","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"CEMEXCPO","CEMEX CPO","Equity","4.16","7.47","294,848,699.00","2,202,519,781.53","2,202,519,781.53","Materiales","2406457","MXP225611567","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GAPB","GRUPO AEROPORTUARIO DEL PACIFICO","Equity","3.64","286.84","6,726,794.00","1,929,513,590.96","1,929,513,590.96","Industriales","B0ZV104","MX01GA000004","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"BIMBOA","GRUPO BIMBO A","Equity","3.58","66.22","28,670,911.00","1,898,587,726.42","1,898,587,726.42","Productos básicos de consumo","2392471","MXP495211262","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ASURB","GRUPO AEROPORTUARIO DEL SURESTE B","Equity","3.08","426.71","3,831,398.00","1,634,895,840.58","1,634,895,840.58","Industriales","2639349","MXP001661018","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"KOFUBL","COCA-COLA FEMSA CLASS UBL UNITS","Equity","2.38","123.18","10,230,016.00","1,260,133,370.88","1,260,133,370.88","Productos básicos de consumo","BHHP0S4","MX01KO000002","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GFINBURO","GRUPO FINANCIERO INBURSA SRIES O","Equity","2.37","31.74","39,594,743.00","1,256,737,142.82","1,256,737,142.82","Financieros","2822398","MXP370641013","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"TLEVISACPO","GRUPO TELEVISA","Equity","2.36","25.39","49,281,648.00","1,251,261,042.72","1,251,261,042.72","Comunicación","2380108","MXP4987V1378","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ELEKTRA*","GRUPO ELEKTRA","Equity","2.24","1,044.52","1,136,322.00","1,186,911,055.44","1,186,911,055.44","Financieros","2967084","MX01EL000003","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"AC*","ARCA CONTINENTAL","Equity","2.13","137.15","8,247,507.00","1,131,145,585.05","1,131,145,585.05","Productos básicos de consumo","2823885","MX01AC100006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GRUMAB","GRUMA","Equity","1.56","219.53","3,778,074.00","829,400,585.22","829,400,585.22","Productos básicos de consumo","2392545","MXP4948K1056","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"KIMBERA","KIMBERLY-CLARK DE MEXICO CLASS A","Equity","1.43","27.29","27,749,444.00","757,282,326.76","757,282,326.76","Productos básicos de consumo","2491914","MXP606941179","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ALFAA","ALFA A","Equity","1.38","12.82","57,145,008.00","732,599,002.56","732,599,002.56","Industriales","2043423","MXP000511016","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
