,"26-feb-2021"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,,ISIN,Bolsa de valores,Ubicación,Moneda,Mercado de divisas,Tipo de Cambio
"AMXL","AMERICA MOVIL L","Equity","11.59","13.39","459,347,153.00","6,150,658,378.67","6,150,658,378.67","Comunicación","2667470","MXP001691213","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GMEXICOB","GRUPO MEXICO B","Equity","11.51","99.33","61,487,766.00","6,107,579,796.78","6,107,579,796.78","Materiales","2643674","MXP370841019","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"WALMEX*","WALMART DE MEXICO V","Equity","10.97","59.68","97,549,044.00","5,821,726,945.92","5,821,726,945.92","Productos básicos de consumo","BW1YVH8","MX01WA000038","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Equity","9.66","143.14","35,804,265.00","5,125,022,492.10","5,125,022,492.10","Productos básicos de consumo","2242059","MXP320321310","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GFNORTEO","GPO FINANCE BANORTE","Equity","9.35","105.06","47,214,903.00","4,960,397,709.18","4,960,397,709.18","Financieros","2421041","MXP370711014","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"CEMEXCPO","CEMEX CPO","Equity","7.66","13.94","291,607,585.00","4,065,009,734.90","4,065,009,734.90","Materiales","2406457","MXP225611567","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GAPB","GRUPO AEROPORTUARIO DEL PACIFICO","Equity","3.04","211.64","7,624,444.00","1,613,637,328.16","1,613,637,328.16","Industriales","B0ZV104","MX01GA000004","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ELEKTRA*","GRUPO ELEKTRA","Equity","2.94","1,385.84","1,124,205.00","1,557,968,257.20","1,557,968,257.20","Financieros","2967084","MX01EL000003","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"TLEVISACPO","GRUPO TELEVISA","Equity","2.86","31.13","48,740,003.00","1,517,276,293.39","1,517,276,293.39","Comunicación","2380108","MXP4987V1378","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ASURB","GRUPO AEROPORTUARIO DEL SURESTE B","Equity","2.83","391.43","3,842,729.00","1,504,159,412.47","1,504,159,412.47","Industriales","2639349","MXP001661018","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"BIMBOA","GRUPO BIMBO A","Equity","2.00","39.30","27,009,826.00","1,061,486,161.80","1,061,486,161.80","Productos básicos de consumo","2392471","MXP495211262","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ORBIA*","ORBIA ADVANCE CORP SA DE CV","Equity","1.79","48.79","19,418,140.00","947,411,050.60","947,411,050.60","Materiales","BH3T8K8","MX01OR010004","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GRUMAB","GRUMA","Equity","1.75","228.02","4,066,286.00","927,194,533.72","927,194,533.72","Productos básicos de consumo","2392545","MXP4948K1056","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"KIMBERA","KIMBERLY-CLARK DE MEXICO CLASS A","Equity","1.71","33.45","27,198,929.00","909,804,175.05","909,804,175.05","Productos básicos de consumo","2491914","MXP606941179","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"KOFUBL","COCA-COLA FEMSA CLASS UBL UNITS","Equity","1.67","87.79","10,117,606.00","888,224,630.74","888,224,630.74","Productos básicos de consumo","BHHP0S4","MX01KO000002","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"AC*","ARCA CONTINENTAL","Equity","1.52","94.77","8,496,861.00","805,247,516.97","805,247,516.97","Productos básicos de consumo","2823885","MX01AC100006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"OMAB","GRUPO AEROPORTUARIO DEL CENTRO NOR","Equity","1.52","121.36","6,626,956.00","804,247,380.16","804,247,380.16","Industriales","B1KFX13","MX01OM000018","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GFINBURO","GRUPO FINANCIERO INBURSA SRIES O","Equity","1.48","18.86","41,686,144.00","786,200,675.84","786,200,675.84","Financieros","2822398","MXP370641013","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"PE&OLES*","INDUST PENOLES","Equity","1.28","287.15","2,373,736.00","681,618,292.40","681,618,292.40","Materiales","2448200","MXP554091415","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"PINFRA*","PROMOTORA Y OPERADORA DE INFRAESTR","Equity","1.17","153.88","4,027,574.00","619,763,087.12","619,763,087.12","Industriales","2393388","MX01PI000005","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ALFAA","ALFA A","Equity","1.16","11.39","53,893,034.00","613,841,657.26","613,841,657.26","Industriales","2043423","MXP000511016","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"IENOVA*","INFRAESTRUCTURA ENERGETICA NOVA","Equity","1.15","72.81","8,393,015.00","611,095,422.15","611,095,422.15","Servicios","B84XBP2","MX01IE060002","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
