,"26-oct-2021"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,,ISIN,Bolsa de valores,Ubicación,Moneda,Mercado de divisas,Tipo de Cambio
"AMXL","AMERICA MOVIL L","Equity","13.14","18.00","429,252,303.00","7,726,541,454.00","7,726,541,454.00","Comunicación","2667470","MXP001691213","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"WALMEX*","WALMART DE MEXICO V","Equity","11.63","73.11","93,580,613.00","6,841,678,616.43","6,841,678,616.43","Productos básicos de consumo","BW1YVH8","MX01WA000038","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GFNORTEO","GPO FINANCE BANORTE","Equity","10.79","140.11","45,294,222.00","6,346,173,444.42","6,346,173,444.42","Financieros","2421041","MXP370711014","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Equity","10.00","173.22","33,948,525.00","5,880,563,500.50","5,880,563,500.50","Productos básicos de consumo","2242059","MXP320321310","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GMEXICOB","GRUPO MEXICO B","Equity","9.26","94.60","57,547,648.00","5,444,007,500.80","5,444,007,500.80","Materiales","2643674","MXP370841019","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"CEMEXCPO","CEMEX CPO","Equity","6.60","13.87","279,744,753.00","3,880,059,724.11","3,880,059,724.11","Materiales","2406457","MXP225611567","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"TLEVISACPO","GRUPO TELEVISA","Equity","3.46","43.57","46,757,346.00","2,037,217,565.22","2,037,217,565.22","Comunicación","2380108","MXP4987V1378","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GAPB","GRUPO AEROPORTUARIO DEL PACIFICO","Equity","2.83","258.16","6,447,467.00","1,664,478,080.72","1,664,478,080.72","Industriales","B0ZV104","MX01GA000004","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ELEKTRA*","GRUPO ELEKTRA","Equity","2.76","1,505.92","1,078,473.00","1,624,094,060.16","1,624,094,060.16","Financieros","2967084","MX01EL000003","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"BIMBOA","GRUPO BIMBO A","Equity","2.67","57.44","27,291,295.00","1,567,611,984.80","1,567,611,984.80","Productos básicos de consumo","2392471","MXP495211262","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ASURB","GRUPO AEROPORTUARIO DEL SURESTE B","Equity","2.43","393.32","3,635,446.00","1,429,893,620.72","1,429,893,620.72","Industriales","2639349","MXP001661018","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"KOFUBL","COCA-COLA FEMSA CLASS UBL UNITS","Equity","1.85","112.33","9,706,057.00","1,090,281,382.81","1,090,281,382.81","Productos básicos de consumo","BHHP0S4","MX01KO000002","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"AC*","ARCA CONTINENTAL","Equity","1.67","125.16","7,825,106.00","979,390,266.96","979,390,266.96","Productos básicos de consumo","2823885","MX01AC100006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ORBIA*","ORBIA ADVANCE CORP SA DE CV","Equity","1.66","52.39","18,628,362.00","975,939,885.18","975,939,885.18","Materiales","BH3T8K8","MX01OR010004","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GRUMAB","GRUMA","Equity","1.53","240.03","3,742,741.00","898,370,122.23","898,370,122.23","Productos básicos de consumo","2392545","MXP4948K1056","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"KIMBERA","KIMBERLY-CLARK DE MEXICO CLASS A","Equity","1.49","33.33","26,328,319.00","877,522,872.27","877,522,872.27","Productos básicos de consumo","2491914","MXP606941179","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ALFAA","ALFA A","Equity","1.43","15.40","54,434,337.00","838,288,789.80","838,288,789.80","Industriales","2043423","MXP000511016","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GFINBURO","GRUPO FINANCIERO INBURSA SRIES O","Equity","1.39","20.89","39,231,601.00","819,548,144.89","819,548,144.89","Financieros","2822398","MXP370641013","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"PE&OLES*","INDUST PENOLES","Equity","1.16","298.92","2,277,179.00","680,694,346.68","680,694,346.68","Materiales","2448200","MXP554091415","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"OMAB","GRUPO AEROPORTUARIO DEL CENTRO NOR","Equity","1.07","124.27","5,086,082.00","632,047,410.14","632,047,410.14","Industriales","B1KFX13","MX01OM000018","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GCARSOA1","GRUPO CARSO SERIES A1","Equity","1.02","72.06","8,342,686.00","601,173,953.16","601,173,953.16","Industriales","2393452","MXP461181085","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"BBAJIOO","BANCO DEL BAJIO INSTITUCION DE BAN","Equity","0.98","40.46","14,293,906.00","578,331,436.76","578,331,436.76","Financieros","BYSX0F3","MX41BB000000","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
