A fecha de,"30-sep-2022"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores,Ubicación,Moneda,Mercado de divisas,Tipo de Cambio
"WALMEX*","WALMART DE MEXICO V","Equity","13.50","70.83","101,148,043.00","7,164,315,885.69","7,164,315,885.69","Productos básicos de consumo","BW1YVH8","MX01WA000038","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GFNORTEO","GPO FINANCE BANORTE","Equity","12.07","129.32","49,532,683.00","6,405,566,565.56","6,405,566,565.56","Financieros","2421041","MXP370711014","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"AMXL","AMERICA MOVIL L","Equity","12.03","16.63","384,044,882.00","6,386,666,387.66","6,386,666,387.66","Comunicación","2667470","MXP001691213","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Equity","8.73","126.22","36,693,502.00","4,631,453,822.44","4,631,453,822.44","Productos básicos de consumo","2242059","MXP320321310","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GMEXICOB","GRUPO MEXICO B","Equity","7.98","68.12","62,201,213.00","4,237,146,629.56","4,237,146,629.56","Materiales","2643674","MXP370841019","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"CEMEXCPO","CEMEX CPO","Equity","3.95","6.94","302,366,408.00","2,098,422,871.52","2,098,422,871.52","Materiales","2406457","MXP225611567","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"BIMBOA","GRUPO BIMBO A","Equity","3.67","70.97","27,455,049.00","1,948,484,827.53","1,948,484,827.53","Productos básicos de consumo","2392471","MXP495211262","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GAPB","GRUPO AEROPORTUARIO DEL PACIFICO","Equity","3.48","254.55","7,250,668.00","1,845,657,539.40","1,845,657,539.40","Industriales","B0ZV104","MX01GA000004","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ASURB","GRUPO AEROPORTUARIO DEL SURESTE B","Equity","2.81","396.67","3,763,035.00","1,492,683,093.45","1,492,683,093.45","Industriales","2639349","MXP001661018","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"AC*","ARCA CONTINENTAL","Equity","2.60","145.02","9,515,006.00","1,379,866,170.12","1,379,866,170.12","Productos básicos de consumo","2823885","MX01AC100006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
