A fecha de,"25-ene-2023"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores,Ubicación,Moneda,Mercado de divisas,Tipo de Cambio
"GFNORTEO","GPO FINANCE BANORTE","Equity","11.89","157.23","49,747,457.00","7,821,792,664.11","7,821,792,664.11","Financieros","2421041","MXP370711014","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"WALMEX*","WALMART DE MEXICO V","Equity","11.73","75.96","101,587,341.00","7,716,574,422.36","7,716,574,422.36","Productos básicos de consumo","BW1YVH8","MX01WA000038","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"AMXL","AMERICA MOVIL L","Equity","11.61","19.92","383,361,819.00","7,636,567,434.48","7,636,567,434.48","Comunicación","2667470","MXP001691213","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Equity","9.08","162.18","36,852,612.00","5,976,756,614.16","5,976,756,614.16","Productos básicos de consumo","2242059","MXP320321310","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GMEXICOB","GRUPO MEXICO B","Equity","7.93","83.54","62,471,001.00","5,218,827,423.54","5,218,827,423.54","Materiales","2643674","MXP370841019","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"CEMEXCPO","CEMEX CPO","Equity","4.42","9.57","303,680,062.00","2,906,218,193.34","2,906,218,193.34","Materiales","2406457","MXP225611567","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"BIMBOA","GRUPO BIMBO A","Equity","4.00","95.53","27,572,822.00","2,634,031,685.66","2,634,031,685.66","Productos básicos de consumo","2392471","MXP495211262","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GAPB","GRUPO AEROPORTUARIO DEL PACIFICO","Equity","3.80","343.94","7,265,249.00","2,498,809,741.06","2,498,809,741.06","Industriales","B0ZV104","MX01GA000004","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ASURB","GRUPO AEROPORTUARIO DEL SURESTE B","Equity","3.12","542.53","3,778,838.00","2,050,132,980.14","2,050,132,980.14","Industriales","2639349","MXP001661018","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GFINBURO","GRUPO FINANCIERO INBURSA SRIES O","Equity","2.44","40.83","39,356,749.00","1,606,936,061.67","1,606,936,061.67","Financieros","2822398","MXP370641013","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"AC*","ARCA CONTINENTAL","Equity","2.36","164.45","9,447,637.00","1,553,663,904.65","1,553,663,904.65","Productos básicos de consumo","2823885","MX01AC100006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"KOFUBL","COCA-COLA FEMSA CLASS UBL UNITS","Equity","2.26","141.22","10,536,256.00","1,487,930,072.32","1,487,930,072.32","Productos básicos de consumo","BHHP0S4","MX01KO000002","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ELEKTRA*","GRUPO ELEKTRA","Equity","1.94","1,091.86","1,170,300.00","1,277,803,758.00","1,277,803,758.00","Financieros","2967084","MX01EL000003","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"TLEVISACPO","GRUPO TELEVISA","Equity","1.71","22.19","50,757,358.00","1,126,305,774.02","1,126,305,774.02","Comunicación","2380108","MXP4987V1378","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"BBAJIOO","BANCO DEL BAJIO INSTITUCION DE BAN","Equity","1.65","71.02","15,277,800.00","1,085,029,356.00","1,085,029,356.00","Financieros","BYSX0F3","MX41BB000000","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"PE&OLES*","INDUST PENOLES","Equity","1.65","288.95","3,747,523.00","1,082,846,770.85","1,082,846,770.85","Materiales","2448200","MXP554091415","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"KIMBERA","KIMBERLY-CLARK DE MEXICO CLASS A","Equity","1.54","35.75","28,259,210.00","1,010,266,757.50","1,010,266,757.50","Productos básicos de consumo","2491914","MXP606941179","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GRUMAB","GRUMA","Equity","1.52","274.29","3,640,499.00","998,552,470.71","998,552,470.71","Productos básicos de consumo","2392545","MXP4948K1056","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"OMAB","GRUPO AEROPORTUARIO DEL CENTRO NOR","Equity","1.47","176.86","5,461,744.00","965,964,043.84","965,964,043.84","Industriales","B1KFX13","MX01OM000018","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GCARSOA1","GRUPO CARSO SERIES A1","Equity","1.45","96.43","9,927,843.00","957,341,900.49","957,341,900.49","Industriales","2393452","MXP461181085","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ALFAA","ALFA A","Equity","1.30","13.59","62,837,181.00","853,957,289.79","853,957,289.79","Industriales","2043423","MXP000511016","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"PINFRA*","PROMOTORA Y OPERADORA DE INFRAESTR","Equity","1.12","182.67","4,041,165.00","738,199,610.55","738,199,610.55","Industriales","2393388","MX01PI000005","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ORBIA*","ORBIA ADVANCE CORP SA DE CV","Equity","1.09","38.74","18,548,257.00","718,559,476.18","718,559,476.18","Materiales","BH3T8K8","MX01OR010004","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"VESTA*","CORPORACION INMOBILIARIA VESTA","Equity","1.01","49.99","13,306,920.00","665,212,930.80","665,212,930.80","Inmobiliario","B8F6ZF8","MX01VE0M0003","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GCC*","GRUPO CEMENTOS","Equity","0.71","147.74","3,181,128.00","469,979,850.72","469,979,850.72","Materiales","2946663","MX01GC2M0006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"LIVEPOLC.1","EL PUERTO DE LIVERPOOL C1","Equity","0.71","117.78","3,961,010.00","466,527,757.80","466,527,757.80","Consumo discrecional","2306814","MXP369181377","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GENTERA*","GENTERA SAB DE CV","Equity","0.67","21.29","20,701,649.00","440,738,107.21","440,738,107.21","Financieros","BHWQZW1","MX01GE0E0004","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ALSEA*","ALSEA DE CV","Equity","0.66","44.45","9,705,529.00","431,410,764.05","431,410,764.05","Consumo discrecional","2563017","MXP001391012","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"RA","REGIONAL SAB DE CV","Equity","0.66","163.90","2,631,121.00","431,240,731.90","431,240,731.90","Financieros","BG1Z6X0","MX01R0000006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"CUERVO*","BECLE SA DE CV","Equity","0.65","45.90","9,365,722.00","429,886,639.80","429,886,639.80","Productos básicos de consumo","BYM4063","MX01CU010003","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"MXN","MXN CASH","Cash","0.63","100.00","416,278,582.00","416,278,582.28","416,278,582.28","Liquidez","-","-","-","México","MXN","MXN","1.00"
"SITES1A-1","OPERADORA DE SITES MEXICANOS SAD","Equity","0.61","21.88","18,200,085.00","398,217,859.80","398,217,859.80","Comunicación","BJLD2Y8","MX01SI0C0002","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"Q*","QUALITAS CONTROLADORA","Equity","0.60","94.95","4,172,325.00","396,162,258.75","396,162,258.75","Financieros","BYMXF65","MX01Q0000008","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"BOLSAA","BOLSA MEXICANA DE VALORES","Equity","0.56","39.53","9,317,726.00","368,329,708.78","368,329,708.78","Financieros","B39VVF6","MX01BM1B0000","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"VOLARA","CONTROLADORA VUELA COMPANIA DE AVI","Equity","0.56","21.35","17,122,475.00","365,564,841.25","365,564,841.25","Industriales","BDZDPH6","MX01VO000009","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"MEGACPO","MEGACABLE HOLDINGS CPO","Equity","0.52","57.87","5,963,427.00","345,103,520.49","345,103,520.49","Comunicación","B292SM8","MX01ME090003","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"LASITEB.1","SITIOS LATINOAMERICA S.A.B. DE C.","Equity","0.39","8.52","29,994,680.00","255,554,673.60","255,554,673.60","Comunicación","BNTFDQ3","MX01LA080009","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
 
